model_name,therapeutic_area_name,limit,relative_risk,relative_risk_low,relative_risk_high,n_exposed,n_exposed_true,stratum,model_slug
ots__all,cancer or benign tumor,10,0.0,0.0,,10.0,0.0,all,OTS
ots__all,cancer or benign tumor,20,3.4634782608695653,1.1371976691706884,10.548457835183594,20.0,2.0,all,OTS
ots__all,cancer or benign tumor,30,5.9122023809523805,2.969078742911768,11.772721446605878,30.0,5.0,all,OTS
ots__all,cancer or benign tumor,40,4.016842532467533,1.9762599556725662,8.164423857462147,44.0,5.0,all,OTS
ots__all,cancer or benign tumor,50,4.107068607068608,2.1439397568142806,7.867764236170965,52.0,6.0,all,OTS
ots__all,cancer or benign tumor,60,4.181969696969697,2.2849916790496807,7.6538005397229165,60.0,7.0,all,OTS
ots__all,cancer or benign tumor,70,3.5754545454545457,1.943262326932835,6.578563804501429,70.0,7.0,all,OTS
ots__all,cancer or benign tumor,80,3.5990825688073396,2.0289633515994048,6.384243129321113,80.0,8.0,all,OTS
ots__all,cancer or benign tumor,90,3.582417582417582,2.0806365701347054,6.16816791506445,91.0,9.0,all,OTS
ots__all,cancer or benign tumor,100,3.187091503267974,1.8455993715164971,5.503660440595311,102.0,9.0,all,OTS
ots__all,cardiovascular disease,10,2.0127388535031847,1.181805579976437,3.427905368734243,10.0,5.0,all,OTS
ots__all,cardiovascular disease,20,1.8294117647058823,1.1987723619584285,2.791812283173367,20.0,9.0,all,OTS
ots__all,cardiovascular disease,30,1.486092715231788,0.9848415618812127,2.2424638071188188,30.0,11.0,all,OTS
ots__all,cardiovascular disease,40,1.1428571428571428,0.7525508466674491,1.7355936210337755,42.0,12.0,all,OTS
ots__all,cardiovascular disease,50,0.9270588235294118,0.6023804819681242,1.426736237329176,51.0,12.0,all,OTS
ots__all,cardiovascular disease,60,0.9175675675675676,0.6136910174349013,1.3719122769157566,60.0,14.0,all,OTS
ots__all,cardiovascular disease,70,0.9743150684931506,0.6819609923023842,1.3920002220184082,73.0,18.0,all,OTS
ots__all,cardiovascular disease,80,0.9333916083916083,0.6575776301921968,1.3248928409581588,80.0,19.0,all,OTS
ots__all,cardiovascular disease,90,0.9638095238095237,0.6945494621778548,1.3374552120062948,90.0,22.0,all,OTS
ots__all,cardiovascular disease,100,0.8181454836131095,0.5899065129500038,1.1346917141314203,108.0,23.0,all,OTS
ots__all,endocrine system disease,10,0.0,0.0,,10.0,0.0,all,OTS
ots__all,endocrine system disease,20,0.0,0.0,,20.0,0.0,all,OTS
ots__all,endocrine system disease,30,1.3519999999999999,0.25977645474207,7.036449865384879,30.0,1.0,all,OTS
ots__all,endocrine system disease,40,2.091666666666667,0.6419713030103933,6.815054542046428,40.0,2.0,all,OTS
ots__all,endocrine system disease,50,2.391304347826087,0.8946328254820612,6.391825027044694,54.0,3.0,all,OTS
ots__all,endocrine system disease,60,2.139130434782609,0.7982625708410542,5.732298098596881,60.0,3.0,all,OTS
ots__all,endocrine system disease,70,2.5298701298701296,1.0592619098179359,6.042172209429459,70.0,4.0,all,OTS
ots__all,endocrine system disease,80,2.869047619047619,1.2945552559262061,6.35850358853437,80.0,5.0,all,OTS
ots__all,endocrine system disease,90,2.5238095238095237,1.136118408742065,5.606470649062213,90.0,5.0,all,OTS
ots__all,endocrine system disease,100,2.2476190476190476,1.0099060627310776,5.002238890970168,100.0,5.0,all,OTS
ots__all,gastrointestinal disease,10,6.545945945945946,2.2367371354119303,19.157105074555293,10.0,2.0,all,OTS
ots__all,gastrointestinal disease,20,5.004166666666666,2.001794270878788,12.509619191179155,20.0,3.0,all,OTS
ots__all,gastrointestinal disease,30,3.1989247311827955,1.2470336901592933,8.205968705196542,31.0,3.0,all,OTS
ots__all,gastrointestinal disease,40,3.3742857142857146,1.4759284946162894,7.714333128714834,40.0,4.0,all,OTS
ots__all,gastrointestinal disease,50,3.1176470588235294,1.4661560669415246,6.629391919829406,55.0,5.0,all,OTS
ots__all,gastrointestinal disease,60,2.8455882352941173,1.3345977800143594,6.067275493862402,60.0,5.0,all,OTS
ots__all,gastrointestinal disease,70,2.9896103896103896,1.4825757322145843,6.028542142879723,70.0,6.0,all,OTS
ots__all,gastrointestinal disease,80,2.593181818181818,1.2815909912646615,5.2470655521017635,80.0,6.0,all,OTS
ots__all,gastrointestinal disease,90,2.7489583333333334,1.4175821555271788,5.330747067419539,90.0,7.0,all,OTS
ots__all,gastrointestinal disease,100,2.8929032258064518,1.541838593521905,5.427863272487527,100.0,8.0,all,OTS
ots__all,"genetic, familial or congenital disease",10,3.5809248554913293,1.6033815641817755,7.997486753703158,10.0,3.0,all,OTS
ots__all,"genetic, familial or congenital disease",20,1.7817919075144508,0.7363409727344085,4.311565591541652,20.0,3.0,all,OTS
ots__all,"genetic, familial or congenital disease",30,1.1820809248554913,0.47637139203779105,2.9332477480015493,30.0,3.0,all,OTS
ots__all,"genetic, familial or congenital disease",40,0.8822254335260116,0.35117928132120124,2.2163087544116187,40.0,3.0,all,OTS
ots__all,"genetic, familial or congenital disease",50,0.6882012920775246,0.2717953822049678,1.7425646255461569,51.0,3.0,all,OTS
ots__all,"genetic, familial or congenital disease",60,0.707892882311487,0.3161465774613993,1.585063285679407,66.0,4.0,all,OTS
ots__all,"genetic, familial or congenital disease",70,0.6661129568106312,0.2970565191165639,1.4936769357917812,70.0,4.0,all,OTS
ots__all,"genetic, familial or congenital disease",80,0.5799418604651163,0.25785806884587037,1.3043321197009998,80.0,4.0,all,OTS
ots__all,"genetic, familial or congenital disease",90,0.7784313725490196,0.4023899100760458,1.5058911433789033,90.0,6.0,all,OTS
ots__all,"genetic, familial or congenital disease",100,0.8180473372781066,0.4437632605494201,1.5080145327922525,100.0,7.0,all,OTS
ots__all,hematologic disease,10,2.7282051282051287,0.5609799686557037,13.268037429929873,10.0,1.0,all,OTS
ots__all,hematologic disease,20,2.7736842105263158,0.892348491233333,8.621434535166738,20.0,2.0,all,OTS
ots__all,hematologic disease,30,1.7138157894736843,0.5392967147759249,5.446286765291506,32.0,2.0,all,OTS
ots__all,hematologic disease,40,3.692857142857143,1.7612533824543621,7.742891518849584,40.0,5.0,all,OTS
ots__all,hematologic disease,50,3.091277890466531,1.5448194745052801,6.1858354026430575,58.0,6.0,all,OTS
ots__all,hematologic disease,60,2.982352941176471,1.488723399138427,5.974534336527151,60.0,6.0,all,OTS
ots__all,hematologic disease,70,2.5310924369747902,1.2576639945188202,5.093911372537996,70.0,6.0,all,OTS
ots__all,hematologic disease,80,2.6356060606060603,1.3659951506867534,5.085244485100175,80.0,7.0,all,OTS
ots__all,hematologic disease,90,2.733333333333333,1.4638619070672825,5.103699382463485,90.0,8.0,all,OTS
ots__all,hematologic disease,100,2.435,1.3009867895770022,4.5574828641632905,100.0,8.0,all,OTS
ots__all,immune system disease,10,4.977358490566038,1.7182628412255978,14.418107026011823,10.0,2.0,all,OTS
ots__all,immune system disease,20,3.775961538461538,1.5296403745118563,9.321070349290988,20.0,3.0,all,OTS
ots__all,immune system disease,30,3.396078431372549,1.5286625810750114,7.544731489354021,30.0,4.0,all,OTS
ots__all,immune system disease,40,3.2225,1.560889834434438,6.652939894225559,40.0,5.0,all,OTS
ots__all,immune system disease,50,2.455769230769231,1.1768773519939704,5.124410376811975,52.0,5.0,all,OTS
ots__all,immune system disease,60,2.078688524590164,0.9910128772013205,4.360131015113993,61.0,5.0,all,OTS
ots__all,immune system disease,70,2.202332361516035,1.113333859890163,4.356525931097886,70.0,6.0,all,OTS
ots__all,immune system disease,80,2.2768229166666667,1.2031037373509266,4.308791031829734,80.0,7.0,all,OTS
ots__all,immune system disease,90,2.0076388888888888,1.0577647296302486,3.810501329145234,90.0,7.0,all,OTS
ots__all,immune system disease,100,2.0919148936170213,1.14189223414628,3.8323300494362766,100.0,8.0,all,OTS
ots__all,integumentary system disease,10,0.0,0.0,,10.0,0.0,all,OTS
ots__all,integumentary system disease,20,0.0,0.0,,22.0,0.0,all,OTS
ots__all,integumentary system disease,30,0.0,0.0,,30.0,0.0,all,OTS
ots__all,integumentary system disease,40,0.5669642857142857,0.10862952365699474,2.9591264920806073,40.0,1.0,all,OTS
ots__all,integumentary system disease,50,0.44642857142857145,0.08518782223859085,2.339518303796609,50.0,1.0,all,OTS
ots__all,integumentary system disease,60,0.3594847775175644,0.06839717196801307,1.8893954464563059,61.0,1.0,all,OTS
ots__all,integumentary system disease,70,0.29910714285714285,0.056794819139050705,1.5752331685241565,72.0,1.0,all,OTS
ots__all,integumentary system disease,80,0.26190476190476186,0.04966937498447569,1.3810140419489734,81.0,1.0,all,OTS
ots__all,integumentary system disease,90,0.23214285714285712,0.04398186603779753,1.2252846679160052,90.0,1.0,all,OTS
ots__all,integumentary system disease,100,0.8308256880733945,0.3484550374470031,1.9809480414459884,109.0,4.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,10,5.6000000000000005,2.8666105687778107,10.9397489640075,10.0,4.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,20,3.5172413793103448,1.7994491542073647,6.874874397761021,20.0,5.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,30,2.8280701754385964,1.4967825758774151,5.343448705311705,30.0,6.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,40,2.8203991130820403,1.6047534127794305,4.956930512642758,41.0,8.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,50,2.3214285714285716,1.3437063690470776,4.010571607297405,56.0,9.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,60,2.1174863387978142,1.221267723574897,3.671388597637327,61.0,9.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,70,1.8238095238095235,1.0465168334240207,3.1784306500405815,70.0,9.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,80,2.223529411764706,1.3607858819103984,3.6332556875455917,80.0,12.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,90,2.1551111111111108,1.3361366881051415,3.4760694340496148,90.0,13.0,all,OTS
ots__all,musculoskeletal or connective tissue disease,100,2.0792079207920793,1.303538679574812,3.316438281136875,101.0,14.0,all,OTS
ots__all,nervous system disease,10,1.865909090909091,0.38829402623007797,8.966444241596982,10.0,1.0,all,OTS
ots__all,nervous system disease,20,0.8419421487603306,0.16727706949225363,4.237679342487461,22.0,1.0,all,OTS
ots__all,nervous system disease,30,0.594208211143695,0.11676505390950051,3.023879032028278,31.0,1.0,all,OTS
ots__all,nervous system disease,40,1.405813953488372,0.5549404219097827,3.561306392173209,40.0,3.0,all,OTS
ots__all,nervous system disease,50,1.1176744186046512,0.4380142637811602,2.851953028240574,50.0,3.0,all,OTS
ots__all,nervous system disease,60,1.248627450980392,0.5536432071925104,2.8160203016808234,60.0,4.0,all,OTS
ots__all,nervous system disease,70,1.3452380952380951,0.6482571494150531,2.791585923136749,70.0,5.0,all,OTS
ots__all,nervous system disease,80,1.384072876873347,0.7082931783008458,2.704611292589341,82.0,6.0,all,OTS
ots__all,nervous system disease,90,1.4815718157181572,0.7948851681532464,2.7614744029381755,90.0,7.0,all,OTS
ots__all,nervous system disease,100,1.709558823529412,0.9830588889385389,2.9729565583430557,102.0,9.0,all,OTS
ots__all,reproductive system or breast disease,10,0.0,0.0,,10.0,0.0,all,OTS
ots__all,reproductive system or breast disease,20,0.0,0.0,,20.0,0.0,all,OTS
ots__all,reproductive system or breast disease,30,0.0,0.0,,34.0,0.0,all,OTS
ots__all,reproductive system or breast disease,40,0.0,0.0,,40.0,0.0,all,OTS
ots__all,reproductive system or breast disease,50,0.0,0.0,,50.0,0.0,all,OTS
ots__all,reproductive system or breast disease,60,0.0,0.0,,60.0,0.0,all,OTS
ots__all,reproductive system or breast disease,70,0.0,0.0,,71.0,0.0,all,OTS
ots__all,reproductive system or breast disease,80,0.0,0.0,,81.0,0.0,all,OTS
ots__all,reproductive system or breast disease,90,0.0,0.0,,90.0,0.0,all,OTS
ots__all,reproductive system or breast disease,100,0.11204481792717087,0.021592864242862202,0.5813976822682414,102.0,1.0,all,OTS
ots__all,respiratory or thoracic disease,10,5.072000000000001,2.5823457839935036,9.961943965620648,10.0,4.0,all,OTS
ots__all,respiratory or thoracic disease,20,3.183673469387755,1.619685232484864,6.257868230442227,20.0,5.0,all,OTS
ots__all,respiratory or thoracic disease,30,2.0884353741496597,1.0284823450886862,4.240775092375096,30.0,5.0,all,OTS
ots__all,respiratory or thoracic disease,40,2.626086956521739,1.485130532401225,4.643586912231421,40.0,8.0,all,OTS
ots__all,respiratory or thoracic disease,50,2.376,1.3713645852781817,4.116612066990802,50.0,9.0,all,OTS
ots__all,respiratory or thoracic disease,60,1.8774193548387097,1.0734991289986389,3.2833780100137053,62.0,9.0,all,OTS
ots__all,respiratory or thoracic disease,70,1.8636363636363638,1.0889786641289283,3.189355871031621,70.0,10.0,all,OTS
ots__all,respiratory or thoracic disease,80,1.8034883720930235,1.0723534496579417,3.0331140439863797,80.0,11.0,all,OTS
ots__all,respiratory or thoracic disease,90,1.5746770025839791,0.9330133328430424,2.6576336855885003,90.0,11.0,all,OTS
ots__all,respiratory or thoracic disease,100,1.5392461197339247,0.9388296674484815,2.5236512002811824,110.0,13.0,all,OTS
ots__all,urinary system disease,10,0.5079136690647482,0.10615130396628958,2.4302696771839933,10.0,1.0,all,OTS
ots__all,urinary system disease,20,0.7620437956204379,0.31464727273494214,1.845592816985236,20.0,3.0,all,OTS
ots__all,urinary system disease,30,0.9894077997111218,0.5341918414516866,1.8325397697368981,31.0,6.0,all,OTS
ots__all,urinary system disease,40,0.7567164179104476,0.40219992129943505,1.4237191675353609,40.0,6.0,all,OTS
ots__all,urinary system disease,50,0.7010526315789475,0.3884232303548851,1.2653074116981333,50.0,7.0,all,OTS
ots__all,urinary system disease,60,0.5754385964912281,0.31643225100199684,1.0464469954729891,60.0,7.0,all,OTS
ots__all,urinary system disease,70,0.7869324473975636,0.4901727396887476,1.2633560102920898,70.0,11.0,all,OTS
ots__all,urinary system disease,80,0.7248475609756098,0.4587143063477479,1.1453839119070017,82.0,12.0,all,OTS
ots__all,urinary system disease,90,0.6520833333333333,0.4113744491906101,1.0336389983571612,90.0,12.0,all,OTS
ots__all,urinary system disease,100,0.7061538461538461,0.4666656641664228,1.0685449835453065,104.0,15.0,all,OTS
p3_lambdarank,cancer or benign tumor,10,3.442241379310345,0.7178017694057073,16.50737880354712,10.0,1.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,20,3.4634782608695653,1.1371976691706884,10.548457835183594,20.0,2.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,30,2.3031884057971013,0.7412074761256399,7.156804273381361,30.0,2.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,40,2.6072368421052627,1.0329388156135306,6.580916360271957,40.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,50,2.0805263157894736,0.8182904692904008,5.289796121475245,50.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,60,1.729385964912281,0.6769138590041752,4.418251710838637,60.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,70,1.4785714285714286,0.5767606211251778,3.7904346956330732,70.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,80,1.2904605263157896,0.5020945700187395,3.316682691703023,80.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,90,1.1441520467836257,0.4442847900043021,2.9464972369332822,90.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cancer or benign tumor,100,1.0271052631578947,0.39820211957802354,2.649270733979463,100.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,10,2.8541935483870966,1.992615681977727,4.088305078262244,10.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,20,2.265562913907285,1.5925450930279497,3.223001558538592,20.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,30,2.71048951048951,2.093513877123928,3.5092929006836306,30.0,19.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,40,3.2815789473684207,2.6767380915169356,4.023090799185684,40.0,29.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,50,3.754146341463415,3.1332232457606426,4.498120193699022,50.0,39.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,60,3.730769230769231,3.10671813186511,4.48017440349454,60.0,45.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,70,3.9732634338138926,3.317929727907855,4.758033957650172,70.0,53.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,80,3.9177884615384615,3.257821078417161,4.71145162975659,80.0,58.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,90,4.005442176870748,3.3227353862217894,4.828421516435549,90.0,64.0,all,P3_LAMBDARAN
p3_lambdarank,cardiovascular disease,100,3.920851063829787,3.2387904770435356,4.746547568822103,100.0,68.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,10,8.616666666666667,2.891452163509436,25.67808154720736,10.0,2.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,20,4.266666666666667,1.3480037958849067,13.504742716613796,20.0,2.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,30,6.1454545454545455,2.6516178009215126,14.242856401523236,30.0,4.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,40,5.976190476190476,2.755056517502339,12.963382921845788,40.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,50,4.733333333333333,2.1632579689567693,10.356806615740323,50.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,60,4.920000000000001,2.362165801812532,10.247544851181065,60.0,6.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,70,4.174285714285714,1.9954230246200828,8.732314406268493,70.0,6.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,80,4.439473684210526,2.2009983021799058,8.95453966196963,80.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,90,4.711111111111111,2.398731013604732,9.252628900595786,90.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,endocrine system disease,100,4.997647058823529,2.5943662346755243,9.627197498463921,100.0,9.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,10,3.186842105263158,0.6548441269760886,15.50897715273998,10.0,1.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,20,1.5802631578947368,0.31130759644166633,8.021749795840217,20.0,1.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,30,4.537142857142857,2.012014737209479,10.231369047859612,30.0,4.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,40,4.341911764705882,2.0671828021274563,9.119753585938057,40.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,50,4.258181818181818,2.135200644094616,8.491994626754492,50.0,6.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,60,4.2328125,2.2078003747072277,8.115181909293835,60.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,70,4.24331797235023,2.28254541192014,7.888450902417548,70.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,80,4.2787500000000005,2.3588384810928638,7.76132054366772,80.0,9.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,90,3.77,2.071875263334179,6.8599206967352835,90.0,9.0,all,P3_LAMBDARAN
p3_lambdarank,gastrointestinal disease,100,3.8655172413793104,2.1680746119408623,6.891932344535146,100.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",10,3.5809248554913293,1.6033815641817755,7.997486753703158,10.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",20,3.004385964912281,1.5710423419679347,5.745443509087883,20.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",30,2.8234714003944776,1.616537648232292,4.931521859427798,30.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",40,3.064759036144578,1.9216567939621567,4.887838441880905,40.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",50,2.4397590361445785,1.508103119627367,3.9469609716873273,50.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",60,2.0230923694779115,1.2389981785602684,3.3033968945747403,60.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",70,1.725473321858864,1.049861855380762,2.835857088423197,70.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",80,1.5022590361445782,0.9096416563366567,2.4809574143368014,80.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",90,1.328647925033467,0.8015265079642813,2.202429103909818,90.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,"genetic, familial or congenital disease",100,1.3166666666666667,0.8117521429884507,2.1356409417397453,100.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,10,15.200000000000001,8.445740432255338,27.35580164382384,10.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,20,13.175,7.725786269970098,22.467696999941968,20.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,30,8.700000000000001,4.89834474980615,15.452158609904993,30.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,40,6.4625,3.569090947814316,11.70155282133561,40.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,50,5.12,2.795986184901926,9.375725867872813,50.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,60,4.225,2.2902538835677873,7.794168641335109,60.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,70,3.585714285714286,1.9336032047146154,6.649423680838983,70.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,80,4.141666666666667,2.343661479993208,7.319061615428986,80.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,90,3.6444444444444444,2.055571599957802,6.461451067389057,90.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,hematologic disease,100,3.246666666666667,1.8264690026906407,5.771159778192967,100.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,10,10.345098039215687,5.262576051559046,20.336248330184052,10.0,4.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,20,8.014285714285714,4.366407972374609,14.709751337155556,20.0,6.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,30,7.370212765957447,4.248420241148153,12.785937626735793,30.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,40,7.161111111111111,4.296678520513462,11.935152257923818,40.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,50,5.684444444444445,3.36642851968483,9.598572627646496,50.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,60,4.699999999999999,2.7598031602246347,8.004194037592875,60.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,70,4.496428571428571,2.6829131645734514,7.535789888739675,70.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,80,4.3569767441860465,2.636330569979472,7.200632032092188,80.0,12.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,90,4.261111111111111,2.609960021770162,6.956837556814313,90.0,13.0,all,P3_LAMBDARAN
p3_lambdarank,immune system disease,100,4.196585365853659,2.59790032799113,6.779062515656768,100.0,14.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,10,4.925925925925926,1.6636134511649585,14.585567465036787,10.0,2.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,20,5.24,2.3468598019854863,11.699718908121556,20.0,4.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,30,4.479166666666666,2.12010637776333,9.463173281400985,30.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,40,3.3072916666666665,1.5423071672931965,7.092088009679463,40.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,50,3.260869565217391,1.5964293784274963,6.66065813185859,50.0,6.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,60,3.2613636363636362,1.655191924312602,6.426138632238889,60.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,70,3.292517006802721,1.7169884906822153,6.313768728745409,70.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,80,2.8333333333333335,1.4721605769583679,5.453058520534476,80.0,8.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,90,3.972222222222222,2.177136448374451,7.247386535876992,90.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,integumentary system disease,100,3.513888888888889,1.9212581612583186,6.4267339873626925,100.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,10,5.6000000000000005,2.8666105687778107,10.9397489640075,10.0,4.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,20,4.294736842105263,2.3574007738347444,7.824195507042486,20.0,6.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,30,3.3583333333333334,1.8724632796894267,6.023297172294057,30.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,40,2.4875,1.360884396218674,4.546790504169858,40.0,7.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,50,2.6199999999999997,1.5245917450158708,4.5024512446960285,50.0,9.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,60,2.440251572327044,1.4471335066892896,4.114912486455997,60.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,70,2.3148351648351646,1.3959375723199925,3.8386113724640953,70.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,80,1.9990384615384618,1.1998373535001077,3.3305803982953774,80.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,90,1.9503267973856209,1.1891045273153606,3.198856390857605,90.0,12.0,all,P3_LAMBDARAN
p3_lambdarank,musculoskeletal or connective tissue disease,100,1.9136000000000002,1.1827517754080616,3.096055348330903,100.0,13.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,10,5.727906976744186,2.5402594045769,12.915577942599645,10.0,3.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,20,4.857142857142858,2.508933576392982,9.403133250187976,20.0,5.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,30,6.0825,3.716897170864678,9.953680327775455,30.0,9.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,40,5.101265822784811,3.1399942904864178,8.287566978563255,40.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,50,4.055696202531646,2.462362740167353,6.680035974761254,50.0,10.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,60,3.741880341880342,2.307130745583272,6.068866499982751,60.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,70,3.187179487179487,1.9521835310062103,5.203462134660014,70.0,11.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,80,3.0623376623376624,1.9055587083957557,4.921345071580996,80.0,12.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,90,3.2397037037037038,2.077228738900923,5.052731984319087,90.0,14.0,all,P3_LAMBDARAN
p3_lambdarank,nervous system disease,100,2.897066666666667,1.8513124976545707,4.533537845039238,100.0,14.0,all,P3_LAMBDARAN
p3_lambdarank,reproductive system or breast disease,10,1.2623376623376623,0.26241910870141477,6.072333610313505,10.0,1.0,all,P3_LAMBDARAN
