model_name,model_slug,limit,stratum,relative_risk
p3_lambdarank,P3_LAMBDARAN,30,known__literature_only,6.8885393597462565
p3_lambdarank,P3_LAMBDARAN,30,literature_only,3.503463203463203
p3_lambdarank,P3_LAMBDARAN,30,pioneer,1.5370370370370372
p3_lambdarank,P3_LAMBDARAN,30,pioneer__evidence_free,
p3_lambdarank,P3_LAMBDARAN,40,all,3.5593087535957952
p3_lambdarank,P3_LAMBDARAN,40,direct_evidence,4.741299019607843
p3_lambdarank,P3_LAMBDARAN,40,evidence_free,2.1716038619726246
p3_lambdarank,P3_LAMBDARAN,40,known,3.0430549478571125
p3_lambdarank,P3_LAMBDARAN,40,known__direct_evidence,0.5680555555555556
p3_lambdarank,P3_LAMBDARAN,40,known__evidence_free,2.101606481239188
p3_lambdarank,P3_LAMBDARAN,40,known__literature_only,2.966201651158548
p3_lambdarank,P3_LAMBDARAN,40,literature_only,3.521351148851149
p3_lambdarank,P3_LAMBDARAN,40,pioneer,7.333333333333334
p3_lambdarank,P3_LAMBDARAN,40,pioneer__evidence_free,
p3_lambdarank,P3_LAMBDARAN,50,all,3.116195907745834
p3_lambdarank,P3_LAMBDARAN,50,direct_evidence,0.941764705882353
p3_lambdarank,P3_LAMBDARAN,50,evidence_free,2.2336793889588717
p3_lambdarank,P3_LAMBDARAN,50,known,2.8761764645423287
p3_lambdarank,P3_LAMBDARAN,50,known__direct_evidence,0.63
p3_lambdarank,P3_LAMBDARAN,50,known__evidence_free,2.2166385835962226
p3_lambdarank,P3_LAMBDARAN,50,known__literature_only,2.6473720580186098
p3_lambdarank,P3_LAMBDARAN,50,literature_only,2.9895071595071596
p3_lambdarank,P3_LAMBDARAN,50,pioneer,5.2
p3_lambdarank,P3_LAMBDARAN,50,pioneer__evidence_free,
p3_lambdarank,P3_LAMBDARAN,60,all,2.9543876147949155
p3_lambdarank,P3_LAMBDARAN,60,direct_evidence,0.6393790849673202
p3_lambdarank,P3_LAMBDARAN,60,evidence_free,2.186674037783701
p3_lambdarank,P3_LAMBDARAN,60,known,2.595179960239008
p3_lambdarank,P3_LAMBDARAN,60,known__direct_evidence,0.8712962962962963
p3_lambdarank,P3_LAMBDARAN,60,known__evidence_free,2.1899107707785066
p3_lambdarank,P3_LAMBDARAN,60,known__literature_only,2.6242270647083865
p3_lambdarank,P3_LAMBDARAN,60,literature_only,2.9716531616531614
p3_lambdarank,P3_LAMBDARAN,60,pioneer,13.600000000000001
p3_lambdarank,P3_LAMBDARAN,60,pioneer__evidence_free,
p3_lambdarank,P3_LAMBDARAN,70,all,2.7530107086371007
p3_lambdarank,P3_LAMBDARAN,70,direct_evidence,0.8869047619047619
p3_lambdarank,P3_LAMBDARAN,70,evidence_free,2.055056182267704
p3_lambdarank,P3_LAMBDARAN,70,known,2.593666966521858
p3_lambdarank,P3_LAMBDARAN,70,known__direct_evidence,0.8940476190476191
p3_lambdarank,P3_LAMBDARAN,70,known__evidence_free,2.0642893433492064
p3_lambdarank,P3_LAMBDARAN,70,known__literature_only,3.102952863137592
p3_lambdarank,P3_LAMBDARAN,70,literature_only,2.8895247609533325
p3_lambdarank,P3_LAMBDARAN,70,pioneer,9.942857142857143
p3_lambdarank,P3_LAMBDARAN,70,pioneer__evidence_free,
p3_lambdarank,P3_LAMBDARAN,80,all,2.7323415834878326
p3_lambdarank,P3_LAMBDARAN,80,direct_evidence,1.3153846153846154
p3_lambdarank,P3_LAMBDARAN,80,evidence_free,1.980856881152235
p3_lambdarank,P3_LAMBDARAN,80,known,2.5674056699003556
p3_lambdarank,P3_LAMBDARAN,80,known__direct_evidence,0.7534090909090909
p3_lambdarank,P3_LAMBDARAN,80,known__evidence_free,2.1368499926521154
p3_lambdarank,P3_LAMBDARAN,80,known__literature_only,4.396248040752351
p3_lambdarank,P3_LAMBDARAN,80,literature_only,2.9471853956228955
p3_lambdarank,P3_LAMBDARAN,80,pioneer,7.2
p3_lambdarank,P3_LAMBDARAN,80,pioneer__evidence_free,
p3_lambdarank,P3_LAMBDARAN,90,all,2.794655164791948
p3_lambdarank,P3_LAMBDARAN,90,direct_evidence,1.711111111111111
p3_lambdarank,P3_LAMBDARAN,90,evidence_free,2.128545273121291
p3_lambdarank,P3_LAMBDARAN,90,known,2.6863663322761826
p3_lambdarank,P3_LAMBDARAN,90,known__direct_evidence,0.7424242424242424
p3_lambdarank,P3_LAMBDARAN,90,known__evidence_free,2.113039905245836
p3_lambdarank,P3_LAMBDARAN,90,known__literature_only,6.515843253968255
p3_lambdarank,P3_LAMBDARAN,90,literature_only,3.2704925411522634
p3_lambdarank,P3_LAMBDARAN,90,pioneer,
p3_lambdarank,P3_LAMBDARAN,100,all,2.776065005453657
p3_lambdarank,P3_LAMBDARAN,100,direct_evidence,1.481666666666667
p3_lambdarank,P3_LAMBDARAN,100,evidence_free,1.9928803650480522
p3_lambdarank,P3_LAMBDARAN,100,known,2.696500738582473
p3_lambdarank,P3_LAMBDARAN,100,known__direct_evidence,1.3055555555555556
p3_lambdarank,P3_LAMBDARAN,100,known__evidence_free,1.9732770230077938
p3_lambdarank,P3_LAMBDARAN,100,known__literature_only,5.578678571428571
p3_lambdarank,P3_LAMBDARAN,100,literature_only,3.817460744154293
p3_lambdarank,P3_LAMBDARAN,100,pioneer,
rdg__all__positive,RDG-T,10,all,5.670213612156399
rdg__all__positive,RDG-T,10,direct_evidence,6.7169444444444455
rdg__all__positive,RDG-T,10,evidence_free,2.9150539786138476
rdg__all__positive,RDG-T,10,known,5.160153823486332
rdg__all__positive,RDG-T,10,known__direct_evidence,5.398333333333333
rdg__all__positive,RDG-T,10,known__evidence_free,2.9369085403874937
rdg__all__positive,RDG-T,10,known__literature_only,2.6516752051367436
rdg__all__positive,RDG-T,10,literature_only,2.3187110526477044
rdg__all__positive,RDG-T,10,pioneer,2.890652056277056
rdg__all__positive,RDG-T,10,pioneer__direct_evidence,0.6000000000000001
