models,therapeutic_area_name,roc_auc,average_precision,n_samples,n_positives,stratum
rdg__no_time__positive,all,0.6689412835021615,0.1265612067477945,13770,1072,evidence_free
rdg__no_time__positive,biological process,0.38888888888888884,0.011235955056179775,145,1,evidence_free
rdg__no_time__positive,cancer or benign tumor,0.5299527271282722,0.02433303514646593,2860,63,evidence_free
rdg__no_time__positive,cardiovascular disease,0.6522500957487553,0.36140481359456333,513,140,evidence_free
rdg__no_time__positive,disorder of visual system,0.5246421267893661,0.05558069422709017,341,15,evidence_free
rdg__no_time__positive,endocrine system disease,0.6142134232954546,0.03851558006996861,720,16,evidence_free
rdg__no_time__positive,gastrointestinal disease,0.5126187576126675,0.034657713218749775,846,25,evidence_free
rdg__no_time__positive,"genetic, familial or congenital disease",0.7376548784452552,0.18253330036633988,1609,152,evidence_free
rdg__no_time__positive,hematologic disease,0.5670159955874242,0.03298170585959767,798,21,evidence_free
rdg__no_time__positive,immune system disease,0.41279569892473117,0.02612881895052988,960,30,evidence_free
rdg__no_time__positive,infectious disease,0.652859094457455,0.0948891949425652,451,24,evidence_free
rdg__no_time__positive,infectious disease or post-infectious disorder,0.652859094457455,0.0948891949425652,451,24,evidence_free
rdg__no_time__positive,integumentary system disease,0.43842308566234955,0.033249615408651484,507,18,evidence_free
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.2914618484566671,0.052050291629996574,618,39,evidence_free
rdg__no_time__positive,nervous system disease,0.7609120711860438,0.10721208154705897,1379,65,evidence_free
rdg__no_time__positive,nutritional or metabolic disease,0.6375527426160338,0.09469443914357624,247,10,evidence_free
rdg__no_time__positive,pancreas disease,0.9026548672566372,0.11688311688311688,115,2,evidence_free
rdg__no_time__positive,phenotype,0.44616819846589734,0.053113797215339584,528,29,evidence_free
rdg__no_time__positive,pregnancy or perinatal disease,0.09999999999999998,0.05263157894736842,21,1,evidence_free
rdg__no_time__positive,psychiatric disorder,0.6422941865001952,0.26038785797463726,288,55,evidence_free
rdg__no_time__positive,reproductive system or breast disease,0.7365716556893027,0.18642871281417425,788,74,evidence_free
rdg__no_time__positive,respiratory or thoracic disease,0.686667591564928,0.12170211725079025,458,34,evidence_free
rdg__no_time__positive,urinary system disease,0.8747246747867995,0.5524910070852517,560,121,evidence_free
ots__all,all,0.4942792792792793,0.09825843947726953,3022,222,literature_only
ots__all,biological process,0.5625,0.6788059163059164,12,8,literature_only
ots__all,cancer or benign tumor,0.47820147979510524,0.049549507804712824,788,35,literature_only
ots__all,cardiovascular disease,0.6472222222222223,0.40708712441713746,87,15,literature_only
ots__all,disorder of visual system,0.5,0.14700854700854699,36,4,literature_only
ots__all,endocrine system disease,0.5052742616033755,0.05205925800920432,245,8,literature_only
ots__all,gastrointestinal disease,0.5298804780876494,0.05374109057556567,260,9,literature_only
ots__all,"genetic, familial or congenital disease",0.4332273449920509,0.06417788327524376,239,17,literature_only
ots__all,hematologic disease,0.6233128834355828,0.24390635675803318,178,15,literature_only
ots__all,immune system disease,0.4988989209425236,0.1342131852916244,258,19,literature_only
ots__all,infectious disease,0.3475609756097561,0.025384615384615387,84,2,literature_only
ots__all,infectious disease or post-infectious disorder,0.3475609756097561,0.025384615384615387,84,2,literature_only
ots__all,integumentary system disease,0.26958333333333334,0.05700726440472407,130,10,literature_only
ots__all,musculoskeletal or connective tissue disease,0.6673177083333334,0.29628464692544904,160,16,literature_only
ots__all,nervous system disease,0.53328173374613,0.09942481557888203,223,19,literature_only
ots__all,nutritional or metabolic disease,0.6764705882352942,0.0804093567251462,53,2,literature_only
ots__all,phenotype,0.25862068965517243,0.07405764966740577,63,5,literature_only
ots__all,psychiatric disorder,0.5246376811594203,0.09695977739456,74,5,literature_only
ots__all,reproductive system or breast disease,0.33464566929133854,0.02809488510007413,131,4,literature_only
ots__all,respiratory or thoracic disease,0.4962468723936614,0.10736717732635431,120,11,literature_only
ots__all,urinary system disease,0.6242997198879551,0.2497203568170607,116,14,literature_only
p3_lambdarank,all,0.6189189189189188,0.16194744862310012,3022,222,literature_only
p3_lambdarank,biological process,0.125,0.5358946608946609,12,8,literature_only
p3_lambdarank,cancer or benign tumor,0.4640865110984633,0.07393454948889722,788,35,literature_only
p3_lambdarank,cardiovascular disease,0.5305555555555557,0.2400973273639594,87,15,literature_only
p3_lambdarank,disorder of visual system,0.2578125,0.09160015176639218,36,4,literature_only
p3_lambdarank,endocrine system disease,0.5733122362869199,0.04716870464792873,245,8,literature_only
p3_lambdarank,gastrointestinal disease,0.5059760956175299,0.04244548608291076,260,9,literature_only
p3_lambdarank,"genetic, familial or congenital disease",0.785903550609433,0.2658939589232251,239,17,literature_only
p3_lambdarank,hematologic disease,0.878118609406953,0.5909120906442558,178,15,literature_only
p3_lambdarank,immune system disease,0.8044483593922043,0.3390886167204413,258,19,literature_only
p3_lambdarank,infectious disease,0.8841463414634146,0.1380952380952381,84,2,literature_only
p3_lambdarank,infectious disease or post-infectious disorder,0.8841463414634146,0.1380952380952381,84,2,literature_only
p3_lambdarank,integumentary system disease,0.5991666666666666,0.14361504777932843,130,10,literature_only
p3_lambdarank,musculoskeletal or connective tissue disease,0.7061631944444444,0.31407486544942215,160,16,literature_only
p3_lambdarank,nervous system disease,0.6736326109391124,0.2798464322667741,223,19,literature_only
p3_lambdarank,nutritional or metabolic disease,0.0784313725490196,0.030341880341880345,53,2,literature_only
p3_lambdarank,phenotype,0.6517241379310346,0.19706742346061232,63,5,literature_only
p3_lambdarank,psychiatric disorder,0.5217391304347826,0.2634974533106961,74,5,literature_only
p3_lambdarank,reproductive system or breast disease,0.5196850393700787,0.07672294103745717,131,4,literature_only
p3_lambdarank,respiratory or thoracic disease,0.5754795663052543,0.20304813969834687,120,11,literature_only
p3_lambdarank,urinary system disease,0.6498599439775911,0.38058619586246556,116,14,literature_only
rdg__all__positive,all,0.7068918918918918,0.14427059185646665,3022,222,literature_only
rdg__all__positive,biological process,0.40625,0.6737959956709956,12,8,literature_only
rdg__all__positive,cancer or benign tumor,0.7077404667046101,0.09186697278167374,788,35,literature_only
rdg__all__positive,cardiovascular disease,0.7814814814814814,0.47712296738486093,87,15,literature_only
rdg__all__positive,disorder of visual system,0.8359375,0.4017857142857143,36,4,literature_only
rdg__all__positive,endocrine system disease,0.6753691983122363,0.08287032222640683,245,8,literature_only
rdg__all__positive,gastrointestinal disease,0.7246569278441788,0.11089090270227256,260,9,literature_only
rdg__all__positive,"genetic, familial or congenital disease",0.7093269740328564,0.12950275017440233,239,17,literature_only
rdg__all__positive,hematologic disease,0.7599182004089979,0.2522866783290467,178,15,literature_only
rdg__all__positive,immune system disease,0.7555604492402554,0.21428292813916383,258,19,literature_only
rdg__all__positive,infectious disease,0.6463414634146342,0.04793028322440087,84,2,literature_only
rdg__all__positive,infectious disease or post-infectious disorder,0.6463414634146342,0.04793028322440087,84,2,literature_only
rdg__all__positive,integumentary system disease,0.6858333333333333,0.12306610255853376,130,10,literature_only
rdg__all__positive,musculoskeletal or connective tissue disease,0.7586805555555555,0.36413940272953194,160,16,literature_only
rdg__all__positive,nervous system disease,0.7524509803921567,0.17636784832088673,223,19,literature_only
rdg__all__positive,nutritional or metabolic disease,0.8921568627450981,0.3333333333333333,53,2,literature_only
rdg__all__positive,phenotype,0.5241379310344827,0.09202752639517345,63,5,literature_only
rdg__all__positive,psychiatric disorder,0.47246376811594204,0.0726364522417154,74,5,literature_only
rdg__all__positive,reproductive system or breast disease,0.7480314960629921,0.07075088099756031,131,4,literature_only
rdg__all__positive,respiratory or thoracic disease,0.7022518765638032,0.1806227396806509,120,11,literature_only
rdg__all__positive,urinary system disease,0.7219887955182073,0.30732866330184205,116,14,literature_only
rdg__no_time__positive,all,0.5033333333333334,0.09224518309536349,3022,222,literature_only
rdg__no_time__positive,biological process,0.34375,0.603720238095238,12,8,literature_only
rdg__no_time__positive,cancer or benign tumor,0.5108708025042686,0.05771807187431281,788,35,literature_only
rdg__no_time__positive,cardiovascular disease,0.6555555555555556,0.4169902613589298,87,15,literature_only
rdg__no_time__positive,disorder of visual system,0.421875,0.12872545582047684,36,4,literature_only
rdg__no_time__positive,endocrine system disease,0.4796940928270042,0.05855407414294769,245,8,literature_only
rdg__no_time__positive,gastrointestinal disease,0.6038069942452412,0.06795568478108577,260,9,literature_only
rdg__no_time__positive,"genetic, familial or congenital disease",0.49695283518812927,0.06964323722808063,239,17,literature_only
rdg__no_time__positive,hematologic disease,0.5615541922290389,0.2088314585634455,178,15,literature_only
rdg__no_time__positive,immune system disease,0.43206342215371063,0.14067805573503978,258,19,literature_only
rdg__no_time__positive,infectious disease,0.6829268292682927,0.05371352785145889,84,2,literature_only
rdg__no_time__positive,infectious disease or post-infectious disorder,0.6829268292682927,0.05371352785145889,84,2,literature_only
rdg__no_time__positive,integumentary system disease,0.32791666666666663,0.05894613859478889,130,10,literature_only
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.6354166666666667,0.2913479517092741,160,16,literature_only
rdg__no_time__positive,nervous system disease,0.5519865841073271,0.10206451087339846,223,19,literature_only
rdg__no_time__positive,nutritional or metabolic disease,0.607843137254902,0.09107142857142857,53,2,literature_only
rdg__no_time__positive,phenotype,0.10344827586206898,0.05274131939878014,63,5,literature_only
rdg__no_time__positive,psychiatric disorder,0.32028985507246377,0.0567065287653523,74,5,literature_only
rdg__no_time__positive,reproductive system or breast disease,0.4724409448818897,0.03565751105796872,131,4,literature_only
rdg__no_time__positive,respiratory or thoracic disease,0.5346121768140116,0.14271305562865666,120,11,literature_only
rdg__no_time__positive,urinary system disease,0.572829131652661,0.24638920023861766,116,14,literature_only
ots__all,all,0.6356156156156157,0.22151605707895836,974,74,direct_evidence
ots__all,cancer or benign tumor,0.6120974076983503,0.09710636134084032,354,19,direct_evidence
ots__all,cardiovascular disease,0.5925925925925926,0.640079365079365,15,6,direct_evidence
ots__all,disorder of visual system,0.5555555555555556,0.3194444444444444,12,3,direct_evidence
ots__all,endocrine system disease,0.6428571428571428,0.04976851851851852,79,2,direct_evidence
ots__all,gastrointestinal disease,0.8166666666666667,0.1903715332286761,101,5,direct_evidence
ots__all,"genetic, familial or congenital disease",0.7214285714285714,0.24415891716321364,147,7,direct_evidence
ots__all,hematologic disease,0.5577956989247311,0.2929333918256928,97,4,direct_evidence
ots__all,immune system disease,0.6817460317460318,0.39776192276192274,111,6,direct_evidence
ots__all,infectious disease,0.6363636363636362,0.1111111111111111,23,1,direct_evidence
ots__all,infectious disease or post-infectious disorder,0.6363636363636362,0.1111111111111111,23,1,direct_evidence
ots__all,integumentary system disease,0.25,0.04,33,1,direct_evidence
ots__all,musculoskeletal or connective tissue disease,0.5548469387755102,0.34042073767305964,57,8,direct_evidence
ots__all,nervous system disease,0.44186046511627913,0.18396250501513658,48,5,direct_evidence
ots__all,nutritional or metabolic disease,1.0,1.0,9,2,direct_evidence
ots__all,pancreas disease,0.7916666666666666,0.16666666666666666,25,1,direct_evidence
ots__all,psychiatric disorder,0.0,0.14285714285714285,7,1,direct_evidence
ots__all,respiratory or thoracic disease,0.6583333333333334,0.3883285984848485,38,8,direct_evidence
ots__all,urinary system disease,0.26875000000000004,0.11745274686451157,37,5,direct_evidence
p3_lambdarank,all,0.6467267267267268,0.17093045771943433,974,74,direct_evidence
p3_lambdarank,cancer or benign tumor,0.5393558523173605,0.06250207201916312,354,19,direct_evidence
p3_lambdarank,cardiovascular disease,0.5370370370370371,0.5254629629629629,15,6,direct_evidence
p3_lambdarank,disorder of visual system,0.7407407407407408,0.4444444444444445,12,3,direct_evidence
p3_lambdarank,endocrine system disease,0.5454545454545454,0.5138888888888888,79,2,direct_evidence
p3_lambdarank,gastrointestinal disease,0.6083333333333334,0.29426721508275444,101,5,direct_evidence
p3_lambdarank,"genetic, familial or congenital disease",0.9020408163265307,0.4066075816075816,147,7,direct_evidence
p3_lambdarank,hematologic disease,0.9032258064516129,0.21334586466165412,97,4,direct_evidence
p3_lambdarank,immune system disease,0.8968253968253967,0.24771436352318707,111,6,direct_evidence
p3_lambdarank,infectious disease,0.5454545454545454,0.09090909090909091,23,1,direct_evidence
p3_lambdarank,infectious disease or post-infectious disorder,0.5454545454545454,0.09090909090909091,23,1,direct_evidence
p3_lambdarank,integumentary system disease,1.0,1.0,33,1,direct_evidence
p3_lambdarank,musculoskeletal or connective tissue disease,0.7551020408163266,0.28866854636591477,57,8,direct_evidence
p3_lambdarank,nervous system disease,0.7162790697674418,0.5361668119732635,48,5,direct_evidence
p3_lambdarank,nutritional or metabolic disease,0.7857142857142857,0.7,9,2,direct_evidence
p3_lambdarank,pancreas disease,1.0,1.0,25,1,direct_evidence
p3_lambdarank,psychiatric disorder,0.0,0.14285714285714285,7,1,direct_evidence
p3_lambdarank,respiratory or thoracic disease,0.5458333333333334,0.23847740877895157,38,8,direct_evidence
p3_lambdarank,urinary system disease,0.6812499999999999,0.21483660130718957,37,5,direct_evidence
rdg__all__positive,all,0.7584984984984986,0.27798180451607873,974,74,direct_evidence
rdg__all__positive,cancer or benign tumor,0.6774548311076198,0.11519164200715552,354,19,direct_evidence
rdg__all__positive,cardiovascular disease,0.8518518518518519,0.8592592592592592,15,6,direct_evidence
rdg__all__positive,disorder of visual system,0.4444444444444445,0.2777777777777778,12,3,direct_evidence
rdg__all__positive,endocrine system disease,0.7727272727272727,0.527027027027027,79,2,direct_evidence
rdg__all__positive,gastrointestinal disease,0.8354166666666667,0.3822103386809269,101,5,direct_evidence
rdg__all__positive,"genetic, familial or congenital disease",0.8357142857142857,0.3157081014223871,147,7,direct_evidence
rdg__all__positive,hematologic disease,0.8387096774193548,0.35287948131197555,97,4,direct_evidence
rdg__all__positive,immune system disease,0.7857142857142857,0.4465496971146182,111,6,direct_evidence
rdg__all__positive,infectious disease,0.9545454545454546,0.5,23,1,direct_evidence
rdg__all__positive,infectious disease or post-infectious disorder,0.9545454545454546,0.5,23,1,direct_evidence
rdg__all__positive,integumentary system disease,0.9375,0.3333333333333333,33,1,direct_evidence
rdg__all__positive,musculoskeletal or connective tissue disease,0.836734693877551,0.6050399831649832,57,8,direct_evidence
rdg__all__positive,nervous system disease,0.6,0.21668436154949786,48,5,direct_evidence
rdg__all__positive,nutritional or metabolic disease,1.0,1.0,9,2,direct_evidence
rdg__all__positive,pancreas disease,1.0,1.0,25,1,direct_evidence
rdg__all__positive,psychiatric disorder,0.5,0.25,7,1,direct_evidence
rdg__all__positive,respiratory or thoracic disease,0.7625000000000001,0.5651893939393939,38,8,direct_evidence
rdg__all__positive,urinary system disease,0.7,0.3255938697318008,37,5,direct_evidence
rdg__no_time__positive,all,0.6403003003003003,0.18279591011870522,974,74,direct_evidence
rdg__no_time__positive,cancer or benign tumor,0.5596229379418696,0.07238935014035718,354,19,direct_evidence
rdg__no_time__positive,cardiovascular disease,0.6851851851851852,0.6824786324786324,15,6,direct_evidence
rdg__no_time__positive,disorder of visual system,0.48148148148148145,0.29444444444444445,12,3,direct_evidence
rdg__no_time__positive,endocrine system disease,0.6103896103896104,0.5161290322580645,79,2,direct_evidence
rdg__no_time__positive,gastrointestinal disease,0.85625,0.27113630229419705,101,5,direct_evidence
rdg__no_time__positive,"genetic, familial or congenital disease",0.6265306122448979,0.18414699521498393,147,7,direct_evidence
rdg__no_time__positive,hematologic disease,0.6774193548387097,0.1479129530600119,97,4,direct_evidence
rdg__no_time__positive,immune system disease,0.7714285714285715,0.33348344122337925,111,6,direct_evidence
rdg__no_time__positive,infectious disease,0.7272727272727273,0.14285714285714285,23,1,direct_evidence
rdg__no_time__positive,infectious disease or post-infectious disorder,0.7272727272727273,0.14285714285714285,23,1,direct_evidence
rdg__no_time__positive,integumentary system disease,0.84375,0.16666666666666666,33,1,direct_evidence
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.6964285714285714,0.33301012712777417,57,8,direct_evidence
rdg__no_time__positive,nervous system disease,0.3674418604651163,0.14033385712008378,48,5,direct_evidence
rdg__no_time__positive,nutritional or metabolic disease,1.0,1.0,9,2,direct_evidence
rdg__no_time__positive,pancreas disease,1.0,1.0,25,1,direct_evidence
rdg__no_time__positive,psychiatric disorder,0.16666666666666663,0.16666666666666666,7,1,direct_evidence
rdg__no_time__positive,respiratory or thoracic disease,0.625,0.3442864247821144,38,8,direct_evidence
rdg__no_time__positive,urinary system disease,0.5875,0.24934065934065935,37,5,direct_evidence
ots__all,all,0.4955357142857143,0.06666666666666667,240,16,pioneer__evidence_free
ots__all,cancer or benign tumor,0.5,0.037037037037037035,81,3,pioneer__evidence_free
ots__all,disorder of visual system,0.5,0.2857142857142857,7,2,pioneer__evidence_free
ots__all,"genetic, familial or congenital disease",0.5,0.17857142857142858,28,5,pioneer__evidence_free
ots__all,hematologic disease,0.5,0.07142857142857142,14,1,pioneer__evidence_free
ots__all,immune system disease,0.47058823529411764,0.05555555555555555,18,1,pioneer__evidence_free
ots__all,integumentary system disease,0.5,0.375,8,3,pioneer__evidence_free
ots__all,musculoskeletal or connective tissue disease,0.4166666666666667,0.3333333333333333,9,3,pioneer__evidence_free
ots__all,nervous system disease,0.5,0.017857142857142856,56,1,pioneer__evidence_free
ots__all,nutritional or metabolic disease,0.5,0.3333333333333333,6,2,pioneer__evidence_free
ots__all,reproductive system or breast disease,0.5,0.16666666666666666,6,1,pioneer__evidence_free
p3_lambdarank,all,0.6930803571428572,0.12068359170186577,240,16,pioneer__evidence_free
p3_lambdarank,cancer or benign tumor,0.8632478632478633,0.2133838383838384,81,3,pioneer__evidence_free
p3_lambdarank,disorder of visual system,1.0,1.0,7,2,pioneer__evidence_free
p3_lambdarank,"genetic, familial or congenital disease",0.49565217391304345,0.19330808080808082,28,5,pioneer__evidence_free
p3_lambdarank,hematologic disease,0.7692307692307692,0.25,14,1,pioneer__evidence_free
p3_lambdarank,immune system disease,0.3529411764705882,0.08333333333333333,18,1,pioneer__evidence_free
p3_lambdarank,integumentary system disease,0.0,0.2757936507936508,8,3,pioneer__evidence_free
p3_lambdarank,musculoskeletal or connective tissue disease,0.7777777777777779,0.5888888888888888,9,3,pioneer__evidence_free
p3_lambdarank,nervous system disease,0.8363636363636364,0.1,56,1,pioneer__evidence_free
p3_lambdarank,nutritional or metabolic disease,0.75,0.5833333333333333,6,2,pioneer__evidence_free
p3_lambdarank,reproductive system or breast disease,1.0,1.0,6,1,pioneer__evidence_free
rdg__all__positive,all,0.66015625,0.12859803391053393,240,16,pioneer__evidence_free
rdg__all__positive,cancer or benign tumor,0.5576923076923077,0.10679012345679012,81,3,pioneer__evidence_free
rdg__all__positive,disorder of visual system,0.5,0.3666666666666667,7,2,pioneer__evidence_free
rdg__all__positive,"genetic, familial or congenital disease",0.5304347826086957,0.2285064935064935,28,5,pioneer__evidence_free
rdg__all__positive,hematologic disease,0.8076923076923076,0.25,14,1,pioneer__evidence_free
rdg__all__positive,immune system disease,0.7647058823529411,0.2,18,1,pioneer__evidence_free
rdg__all__positive,integumentary system disease,0.8,0.6388888888888888,8,3,pioneer__evidence_free
rdg__all__positive,musculoskeletal or connective tissue disease,0.5,0.4206349206349206,9,3,pioneer__evidence_free
rdg__all__positive,nervous system disease,0.0,0.017857142857142856,56,1,pioneer__evidence_free
rdg__all__positive,nutritional or metabolic disease,0.5,0.41666666666666663,6,2,pioneer__evidence_free
rdg__all__positive,reproductive system or breast disease,0.4,0.25,6,1,pioneer__evidence_free
rdg__no_time__positive,all,0.2784598214285714,0.04874546235885675,240,16,pioneer__evidence_free
rdg__no_time__positive,cancer or benign tumor,0.3568376068376068,0.03805860805860806,81,3,pioneer__evidence_free
rdg__no_time__positive,disorder of visual system,0.09999999999999998,0.24285714285714285,7,2,pioneer__evidence_free
rdg__no_time__positive,"genetic, familial or congenital disease",0.2782608695652174,0.14457202836150204,28,5,pioneer__evidence_free
rdg__no_time__positive,hematologic disease,0.6538461538461539,0.16666666666666666,14,1,pioneer__evidence_free
rdg__no_time__positive,immune system disease,0.7058823529411764,0.16666666666666666,18,1,pioneer__evidence_free
rdg__no_time__positive,integumentary system disease,0.5333333333333333,0.4444444444444445,8,3,pioneer__evidence_free
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.3333333333333333,0.373015873015873,9,3,pioneer__evidence_free
rdg__no_time__positive,nervous system disease,0.10909090909090913,0.02,56,1,pioneer__evidence_free
rdg__no_time__positive,nutritional or metabolic disease,0.0,0.26666666666666666,6,2,pioneer__evidence_free
rdg__no_time__positive,reproductive system or breast disease,0.0,0.16666666666666666,6,1,pioneer__evidence_free
ots__all,all,0.3936170212765957,0.25209652147384237,118,24,pioneer__literature_only
ots__all,cancer or benign tumor,0.3,0.14732767232767233,28,5,pioneer__literature_only
ots__all,cardiovascular disease,1.0,1.0,3,1,pioneer__literature_only
ots__all,endocrine system disease,0.0,0.16666666666666666,6,1,pioneer__literature_only
ots__all,"genetic, familial or congenital disease",0.375,0.554861111111111,9,4,pioneer__literature_only
ots__all,hematologic disease,0.90625,0.9166666666666666,8,4,pioneer__literature_only
ots__all,immune system disease,0.59375,0.38125,16,4,pioneer__literature_only
ots__all,musculoskeletal or connective tissue disease,0.6363636363636364,0.26785714285714285,13,2,pioneer__literature_only
ots__all,nervous system disease,0.26666666666666666,0.3416666666666666,8,3,pioneer__literature_only
ots__all,phenotype,0.33333333333333337,0.3333333333333333,4,1,pioneer__literature_only
ots__all,respiratory or thoracic disease,0.0,0.325,5,2,pioneer__literature_only
ots__all,urinary system disease,0.5,0.375,9,2,pioneer__literature_only
p3_lambdarank,all,0.675531914893617,0.5410323849075414,118,24,pioneer__literature_only
p3_lambdarank,cancer or benign tumor,0.6434782608695653,0.4128205128205128,28,5,pioneer__literature_only
p3_lambdarank,cardiovascular disease,0.5,0.5,3,1,pioneer__literature_only
p3_lambdarank,endocrine system disease,0.19999999999999996,0.2,6,1,pioneer__literature_only
p3_lambdarank,"genetic, familial or congenital disease",0.39999999999999997,0.5654761904761905,9,4,pioneer__literature_only
p3_lambdarank,hematologic disease,0.5625,0.6845238095238095,8,4,pioneer__literature_only
p3_lambdarank,immune system disease,0.5208333333333333,0.5369047619047619,16,4,pioneer__literature_only
p3_lambdarank,musculoskeletal or connective tissue disease,0.45454545454545453,0.3269230769230769,13,2,pioneer__literature_only
p3_lambdarank,nervous system disease,0.8,0.8333333333333333,8,3,pioneer__literature_only
p3_lambdarank,phenotype,0.6666666666666667,0.5,4,1,pioneer__literature_only
p3_lambdarank,respiratory or thoracic disease,0.6666666666666667,0.75,5,2,pioneer__literature_only
p3_lambdarank,urinary system disease,1.0,1.0,9,2,pioneer__literature_only
rdg__all__positive,all,0.5957446808510639,0.32813993563161625,118,24,pioneer__literature_only
rdg__all__positive,cancer or benign tumor,0.6434782608695653,0.2567023172905526,28,5,pioneer__literature_only
rdg__all__positive,cardiovascular disease,1.0,1.0,3,1,pioneer__literature_only
rdg__all__positive,endocrine system disease,0.19999999999999996,0.2,6,1,pioneer__literature_only
rdg__all__positive,"genetic, familial or congenital disease",0.75,0.7470238095238095,9,4,pioneer__literature_only
rdg__all__positive,hematologic disease,1.0,1.0,8,4,pioneer__literature_only
rdg__all__positive,immune system disease,0.7708333333333334,0.698051948051948,16,4,pioneer__literature_only
rdg__all__positive,musculoskeletal or connective tissue disease,0.8181818181818181,0.6666666666666666,13,2,pioneer__literature_only
rdg__all__positive,nervous system disease,0.6,0.6428571428571429,8,3,pioneer__literature_only
rdg__all__positive,phenotype,0.33333333333333337,0.3333333333333333,4,1,pioneer__literature_only
rdg__all__positive,respiratory or thoracic disease,0.16666666666666669,0.3666666666666667,5,2,pioneer__literature_only
rdg__all__positive,urinary system disease,0.7142857142857143,0.6666666666666666,9,2,pioneer__literature_only
rdg__no_time__positive,all,0.3953900709219858,0.2582352560039137,118,24,pioneer__literature_only
rdg__no_time__positive,cancer or benign tumor,0.3739130434782609,0.1816462874357611,28,5,pioneer__literature_only
rdg__no_time__positive,cardiovascular disease,1.0,1.0,3,1,pioneer__literature_only
rdg__no_time__positive,endocrine system disease,0.0,0.16666666666666666,6,1,pioneer__literature_only
rdg__no_time__positive,"genetic, familial or congenital disease",0.6,0.7321428571428572,9,4,pioneer__literature_only
rdg__no_time__positive,hematologic disease,0.8125,0.8928571428571428,8,4,pioneer__literature_only
rdg__no_time__positive,immune system disease,0.5625,0.625,16,4,pioneer__literature_only
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.5909090909090908,0.35,13,2,pioneer__literature_only
rdg__no_time__positive,nervous system disease,0.4666666666666666,0.5873015873015872,8,3,pioneer__literature_only
rdg__no_time__positive,phenotype,0.33333333333333337,0.3333333333333333,4,1,pioneer__literature_only
rdg__no_time__positive,respiratory or thoracic disease,0.0,0.325,5,2,pioneer__literature_only
rdg__no_time__positive,urinary system disease,0.5,0.375,9,2,pioneer__literature_only
ots__all,all,0.6758241758241758,0.4241086089608257,66,14,pioneer__direct_evidence
ots__all,cancer or benign tumor,0.6285714285714286,0.3854901960784314,19,5,pioneer__direct_evidence
ots__all,endocrine system disease,0.6666666666666667,0.5,4,1,pioneer__direct_evidence
ots__all,gastrointestinal disease,0.6666666666666667,0.5,4,1,pioneer__direct_evidence
ots__all,"genetic, familial or congenital disease",1.0,1.0,12,1,pioneer__direct_evidence
ots__all,nervous system disease,1.0,1.0,4,1,pioneer__direct_evidence
ots__all,pancreas disease,1.0,1.0,2,1,pioneer__direct_evidence
ots__all,respiratory or thoracic disease,0.75,0.9166666666666666,6,4,pioneer__direct_evidence
ots__all,urinary system disease,0.6666666666666667,0.5,4,1,pioneer__direct_evidence
p3_lambdarank,all,0.5219780219780219,0.3613488368597656,66,14,pioneer__direct_evidence
p3_lambdarank,cancer or benign tumor,0.6142857142857143,0.3479365079365079,19,5,pioneer__direct_evidence
p3_lambdarank,endocrine system disease,1.0,1.0,4,1,pioneer__direct_evidence
p3_lambdarank,gastrointestinal disease,1.0,1.0,4,1,pioneer__direct_evidence
p3_lambdarank,"genetic, familial or congenital disease",1.0,1.0,12,1,pioneer__direct_evidence
p3_lambdarank,nervous system disease,1.0,1.0,4,1,pioneer__direct_evidence
p3_lambdarank,pancreas disease,1.0,1.0,2,1,pioneer__direct_evidence
p3_lambdarank,respiratory or thoracic disease,0.875,0.95,6,4,pioneer__direct_evidence
p3_lambdarank,urinary system disease,0.33333333333333337,0.3333333333333333,4,1,pioneer__direct_evidence
rdg__all__positive,all,0.5439560439560439,0.3019430760810071,66,14,pioneer__direct_evidence
rdg__all__positive,cancer or benign tumor,0.4285714285714286,0.25935188994012526,19,5,pioneer__direct_evidence
rdg__all__positive,endocrine system disease,1.0,1.0,4,1,pioneer__direct_evidence
rdg__all__positive,gastrointestinal disease,1.0,1.0,4,1,pioneer__direct_evidence
rdg__all__positive,"genetic, familial or congenital disease",0.9090909090909091,0.5,12,1,pioneer__direct_evidence
rdg__all__positive,nervous system disease,0.6666666666666667,0.5,4,1,pioneer__direct_evidence
rdg__all__positive,pancreas disease,1.0,1.0,2,1,pioneer__direct_evidence
rdg__all__positive,respiratory or thoracic disease,0.625,0.8041666666666667,6,4,pioneer__direct_evidence
rdg__all__positive,urinary system disease,0.0,0.25,4,1,pioneer__direct_evidence
rdg__no_time__positive,all,0.5549450549450549,0.312889375117636,66,14,pioneer__direct_evidence
rdg__no_time__positive,cancer or benign tumor,0.4,0.2588522588522588,19,5,pioneer__direct_evidence
rdg__no_time__positive,endocrine system disease,1.0,1.0,4,1,pioneer__direct_evidence
rdg__no_time__positive,gastrointestinal disease,1.0,1.0,4,1,pioneer__direct_evidence
rdg__no_time__positive,"genetic, familial or congenital disease",0.9090909090909091,0.5,12,1,pioneer__direct_evidence
rdg__no_time__positive,nervous system disease,0.6666666666666667,0.5,4,1,pioneer__direct_evidence
rdg__no_time__positive,pancreas disease,1.0,1.0,2,1,pioneer__direct_evidence
