therapeutic_area_name,transition_year,outcome,count,cumulative_count
gastrointestinal disease,2006,negative,151,949
gastrointestinal disease,2007,negative,256,1205
gastrointestinal disease,2008,negative,139,1344
gastrointestinal disease,2009,negative,213,1557
gastrointestinal disease,2010,negative,276,1833
gastrointestinal disease,2011,negative,229,2062
gastrointestinal disease,2012,negative,268,2330
gastrointestinal disease,2013,negative,286,2616
gastrointestinal disease,2014,negative,264,2880
gastrointestinal disease,2015,negative,346,3226
gastrointestinal disease,2016,negative,104,3330
gastrointestinal disease,2017,negative,243,3573
gastrointestinal disease,2018,negative,109,3682
gastrointestinal disease,2019,negative,241,3923
gastrointestinal disease,2020,negative,92,4015
gastrointestinal disease,2021,negative,182,4197
gastrointestinal disease,2022,negative,211,4408
immune system disease,1990,positive,10,10
immune system disease,1991,positive,0,10
immune system disease,1992,positive,14,24
immune system disease,1993,positive,16,40
immune system disease,1994,positive,25,65
immune system disease,1995,positive,2,67
immune system disease,1996,positive,4,71
immune system disease,1997,positive,38,109
immune system disease,1998,positive,11,120
immune system disease,1999,positive,35,155
immune system disease,2000,positive,48,203
immune system disease,2001,positive,34,237
immune system disease,2002,positive,35,272
immune system disease,2003,positive,68,340
immune system disease,2004,positive,29,369
immune system disease,2005,positive,40,409
immune system disease,2006,positive,25,434
immune system disease,2007,positive,74,508
immune system disease,2008,positive,39,547
immune system disease,2009,positive,21,568
immune system disease,2010,positive,18,586
immune system disease,2011,positive,7,593
immune system disease,2012,positive,4,597
immune system disease,2013,positive,19,616
immune system disease,2014,positive,52,668
immune system disease,2015,positive,6,674
immune system disease,2016,positive,18,692
immune system disease,2017,positive,21,713
immune system disease,2018,positive,8,721
immune system disease,2019,positive,5,726
immune system disease,2020,positive,0,726
immune system disease,2021,positive,3,729
immune system disease,2022,positive,0,729
immune system disease,1990,negative,0,0
immune system disease,1991,negative,0,0
immune system disease,1992,negative,4,4
immune system disease,1993,negative,5,9
immune system disease,1994,negative,0,9
immune system disease,1995,negative,44,53
immune system disease,1996,negative,17,70
immune system disease,1997,negative,13,83
immune system disease,1998,negative,37,120
immune system disease,1999,negative,47,167
immune system disease,2000,negative,19,186
immune system disease,2001,negative,81,267
immune system disease,2002,negative,166,433
immune system disease,2003,negative,102,535
immune system disease,2004,negative,184,719
immune system disease,2005,negative,186,905
immune system disease,2006,negative,225,1130
immune system disease,2007,negative,182,1312
immune system disease,2008,negative,178,1490
immune system disease,2009,negative,214,1704
immune system disease,2010,negative,162,1866
immune system disease,2011,negative,134,2000
immune system disease,2012,negative,368,2368
immune system disease,2013,negative,164,2532
immune system disease,2014,negative,121,2653
immune system disease,2015,negative,360,3013
immune system disease,2016,negative,109,3122
immune system disease,2017,negative,160,3282
immune system disease,2018,negative,282,3564
immune system disease,2019,negative,166,3730
immune system disease,2020,negative,114,3844
immune system disease,2021,negative,194,4038
immune system disease,2022,negative,249,4287
